120.679 78.7509 124.707
168.562 73.3274 43.4068
191.972 28.8505 27.0161
163.902 57.4599 -99.044
111.517 72.0917 142.111
73.0336 174.293 39.6532
140.924 -99.7974 -74.5284
97.9974 154.724 -68.8992
174.204 -72.0905 60.234
84.66 100.528 139.778
68.4699 160.731 72.9667
132.419 -57.6591 -101.907
105.771 29.5599 -165.34
59.6679 -39.2192 185.64
26.0793 45.7835 192.091
48.6389 167.021 -92.8653
-2.88136 166.105 106.764
119.339 -135.103 60.1871
85.0417 -78.5726 -155.525
35.0128 -107.993 164.177
-13.6012 141.141 131.978
-53.7178 173.487 3.96877
-46.3988 176.809 64.2735
104.551 -126.697 -67.5154
56.5697 -108.053 -137.679
29.9554 26.7125 -192.746
7.56218 5.38006 199.74
0.947745 -29.0094 195.587
-109.33 106.49 119.067
-56.6433 145.897 -111.831
-36.8797 -170.714 20.7529
70.3833 -153.488 25.161
34.1411 -5.84403 -189.702
-17.713 -118.336 -158.339
-63.0194 129.291 -135.49
-93.8004 -49.2242 166.899
-122.32 128.555 -36.7235
-83.6036 -165.234 39.754
31.6749 -140.998 -89.4141
21.2463 -89.8043 -162.378
-74.1162 50.3541 -161.237
-31.7894 -107.89 -163.665
-86.9894 -152.063 65.7551
-157.667 80.2468 8.99978
-65.5471 -101.226 -156.224
-123.49 34.5149 -111.402
-151.289 34.1379 61.3639
-115.409 -90.9788 71.5877
-138.882 43.8951 -81.7856
-166.379 -28.5121 20.6951
-121.66 -9.35237 -132.874
-154.437 -19.1214 -69.7863
-90.9546 -100.189 -103.925
-109.33 106.49 119.067 , 
-13.6012 141.141 131.978 , 
26.0793 45.7835 192.091 , 
-53.7178 173.487 3.96877 , 
-56.6433 145.897 -111.831 , 
48.6389 167.021 -92.8653 , 
73.0336 174.293 39.6532 , 
-46.3988 176.809 64.2735 , 
-53.7178 173.487 3.96877 , 
-109.33 106.49 119.067 , 
-46.3988 176.809 64.2735 , 
-2.88136 166.105 106.764 , 
119.339 -135.103 60.1871 , 
-36.8797 -170.714 20.7529 , 
35.0128 -107.993 164.177 , 
56.5697 -108.053 -137.679 , 
104.551 -126.697 -67.5154 , 
140.924 -99.7974 -74.5284 , 
119.339 -135.103 60.1871 , 
104.551 -126.697 -67.5154 , 
70.3833 -153.488 25.161 , 
85.0417 -78.5726 -155.525 , 
105.771 29.5599 -165.34 , 
34.1411 -5.84403 -189.702 , 
85.0417 -78.5726 -155.525 , 
-17.713 -118.336 -158.339 , 
56.5697 -108.053 -137.679 , 
29.9554 26.7125 -192.746 , 
48.6389 167.021 -92.8653 , 
-63.0194 129.291 -135.49 , 
29.9554 26.7125 -192.746 , 
34.1411 -5.84403 -189.702 , 
105.771 29.5599 -165.34 , 
-109.33 106.49 119.067 , 
26.0793 45.7835 192.091 , 
7.56218 5.38006 199.74 , 
7.56218 5.38006 199.74 , 
59.6679 -39.2192 185.64 , 
0.947745 -29.0094 195.587 , 
35.0128 -107.993 164.177 , 
-93.8004 -49.2242 166.899 , 
0.947745 -29.0094 195.587 , 
-13.6012 141.141 131.978 , 
-109.33 106.49 119.067 , 
-2.88136 166.105 106.764 , 
-63.0194 129.291 -135.49 , 
48.6389 167.021 -92.8653 , 
-56.6433 145.897 -111.831 , 
-53.7178 173.487 3.96877 , 
-122.32 128.555 -36.7235 , 
-56.6433 145.897 -111.831 , 
-122.32 128.555 -36.7235 , 
-53.7178 173.487 3.96877 , 
-46.3988 176.809 64.2735 , 
-122.32 128.555 -36.7235 , 
-46.3988 176.809 64.2735 , 
-109.33 106.49 119.067 , 
-83.6036 -165.234 39.754 , 
35.0128 -107.993 164.177 , 
-36.8797 -170.714 20.7529 , 
119.339 -135.103 60.1871 , 
70.3833 -153.488 25.161 , 
-36.8797 -170.714 20.7529 , 
31.6749 -140.998 -89.4141 , 
104.551 -126.697 -67.5154 , 
56.5697 -108.053 -137.679 , 
70.3833 -153.488 25.161 , 
104.551 -126.697 -67.5154 , 
31.6749 -140.998 -89.4141 , 
21.2463 -89.8043 -162.378 , 
85.0417 -78.5726 -155.525 , 
34.1411 -5.84403 -189.702 , 
-17.713 -118.336 -158.339 , 
31.6749 -140.998 -89.4141 , 
56.5697 -108.053 -137.679 , 
21.2463 -89.8043 -162.378 , 
-17.713 -118.336 -158.339 , 
85.0417 -78.5726 -155.525 , 
-63.0194 129.291 -135.49 , 
-74.1162 50.3541 -161.237 , 
29.9554 26.7125 -192.746 , 
-31.7894 -107.89 -163.665 , 
34.1411 -5.84403 -189.702 , 
29.9554 26.7125 -192.746 , 
7.56218 5.38006 199.74 , 
-93.8004 -49.2242 166.899 , 
-109.33 106.49 119.067 , 
7.56218 5.38006 199.74 , 
0.947745 -29.0094 195.587 , 
-93.8004 -49.2242 166.899 , 
35.0128 -107.993 164.177 , 
-86.9894 -152.063 65.7551 , 
-93.8004 -49.2242 166.899 , 
-63.0194 129.291 -135.49 , 
-56.6433 145.897 -111.831 , 
-122.32 128.555 -36.7235 , 
-109.33 106.49 119.067 , 
-157.667 80.2468 8.99978 , 
-122.32 128.555 -36.7235 , 
-17.713 -118.336 -158.339 , 
-83.6036 -165.234 39.754 , 
-36.8797 -170.714 20.7529 , 
-83.6036 -165.234 39.754 , 
-86.9894 -152.063 65.7551 , 
35.0128 -107.993 164.177 , 
31.6749 -140.998 -89.4141 , 
-36.8797 -170.714 20.7529 , 
70.3833 -153.488 25.161 , 
34.1411 -5.84403 -189.702 , 
-17.713 -118.336 -158.339 , 
21.2463 -89.8043 -162.378 , 
31.6749 -140.998 -89.4141 , 
-17.713 -118.336 -158.339 , 
-36.8797 -170.714 20.7529 , 
29.9554 26.7125 -192.746 , 
-74.1162 50.3541 -161.237 , 
-65.5471 -101.226 -156.224 , 
-123.49 34.5149 -111.402 , 
-74.1162 50.3541 -161.237 , 
-63.0194 129.291 -135.49 , 
-65.5471 -101.226 -156.224 , 
-31.7894 -107.89 -163.665 , 
29.9554 26.7125 -192.746 , 
34.1411 -5.84403 -189.702 , 
-31.7894 -107.89 -163.665 , 
-17.713 -118.336 -158.339 , 
-151.289 34.1379 61.3639 , 
-109.33 106.49 119.067 , 
-93.8004 -49.2242 166.899 , 
-86.9894 -152.063 65.7551 , 
-115.409 -90.9788 71.5877 , 
-93.8004 -49.2242 166.899 , 
-122.32 128.555 -36.7235 , 
-138.882 43.8951 -81.7856 , 
-63.0194 129.291 -135.49 , 
-122.32 128.555 -36.7235 , 
-157.667 80.2468 8.99978 , 
-138.882 43.8951 -81.7856 , 
-109.33 106.49 119.067 , 
-151.289 34.1379 61.3639 , 
-157.667 80.2468 8.99978 , 
-83.6036 -165.234 39.754 , 
-17.713 -118.336 -158.339 , 
-65.5471 -101.226 -156.224 , 
-86.9894 -152.063 65.7551 , 
-83.6036 -165.234 39.754 , 
-166.379 -28.5121 20.6951 , 
-121.66 -9.35237 -132.874 , 
-65.5471 -101.226 -156.224 , 
-74.1162 50.3541 -161.237 , 
-121.66 -9.35237 -132.874 , 
-74.1162 50.3541 -161.237 , 
-123.49 34.5149 -111.402 , 
-138.882 43.8951 -81.7856 , 
-123.49 34.5149 -111.402 , 
-63.0194 129.291 -135.49 , 
-31.7894 -107.89 -163.665 , 
-65.5471 -101.226 -156.224 , 
-17.713 -118.336 -158.339 , 
-151.289 34.1379 61.3639 , 
-93.8004 -49.2242 166.899 , 
-166.379 -28.5121 20.6951 , 
-115.409 -90.9788 71.5877 , 
-166.379 -28.5121 20.6951 , 
-93.8004 -49.2242 166.899 , 
-115.409 -90.9788 71.5877 , 
-86.9894 -152.063 65.7551 , 
-166.379 -28.5121 20.6951 , 
-157.667 80.2468 8.99978 , 
-154.437 -19.1214 -69.7863 , 
-138.882 43.8951 -81.7856 , 
-166.379 -28.5121 20.6951 , 
-157.667 80.2468 8.99978 , 
-151.289 34.1379 61.3639 , 
-65.5471 -101.226 -156.224 , 
-90.9546 -100.189 -103.925 , 
-83.6036 -165.234 39.754 , 
-154.437 -19.1214 -69.7863 , 
-166.379 -28.5121 20.6951 , 
-83.6036 -165.234 39.754 , 
-65.5471 -101.226 -156.224 , 
-121.66 -9.35237 -132.874 , 
-154.437 -19.1214 -69.7863 , 
-121.66 -9.35237 -132.874 , 
-123.49 34.5149 -111.402 , 
-138.882 43.8951 -81.7856 , 
-154.437 -19.1214 -69.7863 , 
-121.66 -9.35237 -132.874 , 
-138.882 43.8951 -81.7856 , 
-154.437 -19.1214 -69.7863 , 
-157.667 80.2468 8.99978 , 
-166.379 -28.5121 20.6951 , 
-83.6036 -165.234 39.754 , 
-90.9546 -100.189 -103.925 , 
-154.437 -19.1214 -69.7863 , 
-65.5471 -101.226 -156.224 , 
-154.437 -19.1214 -69.7863 , 
-90.9546 -100.189 -103.925 , 
